SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,NETCASH_OPERATE,NETCASH_OPERATE_RATIO,SALES_SERVICES,SALES_SERVICES_RATIO,PAY_STAFF_CASH,PSC_RATIO,NETCASH_INVEST,NETCASH_INVEST_RATIO,RECEIVE_INVEST_INCOME,RII_RATIO,CONSTRUCT_LONG_ASSET,CLA_RATIO,NETCASH_FINANCE,NETCASH_FINANCE_RATIO
000858,五粮液,2023-09-30 00:00:00,22388745174.97,462.5487664952,66818474225.22,1380.4615931096,6169872501.92,127.4688193953,-2418850027.83,-49.9731489177,23638368.0,0.4883658229,2443147960.19,50.4751412605,-15129595745.93,-312.5756175775
000858,五粮液,2022-09-30 00:00:00,10785477248.11,296.3252144287,49024418045.48,1346.9196453144,6120956969.3,168.1700164687,-1489714852.12,-40.9291181871,,,1493291829.73,41.0273937323,-12935505733.02,-355.3960962416
000858,五粮液,2023-06-30 00:00:00,11329818886.3,1377.4140717487,43051685416.56,5233.9757502191,4794521049.72,582.8902321789,-1344448683.36,-163.4503211206,,,1345043512.81,163.5226370564,-10807912902.24,-1313.9637506281
000858,五粮液,2022-06-30 00:00:00,1887074640.92,24.5921814726,31434148170.48,409.6468997469,4601009480.76,59.959928269,-914445065.19,-11.9169631673,,,915626539.57,11.9323600317,-8646103533.4,-112.6752183052
000858,五粮液,2021-12-31 00:00:00,26774941873.05,191.1381024407,80952960804.29,577.8983718601,7240759270.94,51.6895608528,-1496849812.04,-10.6855519638,41720016.0,0.2978264054,1539129180.86,10.9873714175,-11269456954.06,-80.4491986555
000858,五粮液,2023-03-31 00:00:00,9535617536.41,114.6266923324,28636841576.57,344.2405713353,3223644751.01,38.7511069579,-1104263756.27,-13.2742427389,,,1104203949.98,13.2735238136,-112508193.32,-1.3524495935
000858,五粮液,2022-12-31 00:00:00,24431136261.48,254.2424140535,81770582903.92,850.9448833466,7879082833.54,81.9936092487,-1716454550.53,-17.8622698457,23038080.0,0.2397455858,1780534893.52,18.5291213962,-13105431458.2,-136.3815622607
000858,五粮液,2022-03-31 00:00:00,-3401025898.78,-84.7106823255,13735340195.15,342.1114906305,3068475141.33,76.4277105371,-460220708.19,-11.4628971879,,,460335221.83,11.4657494239,-153625904.28,-3.8264204866
000858,五粮液,2021-09-30 00:00:00,15397893819.46,319.3196062654,51964936525.86,1077.6423883423,5710336873.56,118.4202556199,-877999093.55,-18.2078359639,41720016.0,0.8651845011,914624704.11,18.9673733188,-9697800022.88,-201.1117703015
000858,五粮液,2021-06-30 00:00:00,8707487982.81,109.955039479,36084798412.09,455.6659098267,4119740667.12,52.0226095736,-555895760.37,-7.0196525563,41720016.0,0.5268254192,598145670.93,7.5531692942,-232457252.3,-2.9353869226
000858,五粮液,2020-12-31 00:00:00,14698327593.21,390.6056281082,62667576569.99,1665.3804967206,5740856054.71,152.5623014529,-1722015348.58,-45.7622734681,,,993760087.19,26.4090101805,-9213223328.76,-244.8398882397
000858,五粮液,2021-03-31 00:00:00,5505475102.1,108.6920204549,21065891918.69,415.8940532585,2862437571.83,56.5117664395,-440268770.43,-8.6920204549,,,440643520.47,8.6994189697,,
000858,五粮液,2020-09-30 00:00:00,3943471634.98,67.2470413447,38577280256.85,657.8487689341,4584204123.61,78.173293171,-1280920421.7,-21.8432174821,,,566814185.98,9.6657413892,-8526629011.28,-145.4024845941
