SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,ACCOUNTS_RECE_RATIO,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_RATIO,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO
000333,美的集团,2009-09-30 00:00:00,46744503667.92,8013690988.32,7367726706.58,51.5247142118,6043551759.86,38.8187880351,7018632663.95,-22.8313173211,30818263012.8,11820416750.74,31.3416777557,2993300283.21,198.171208069,15926240655.12,40.233641176,25.4289691716,18.9399444686,109.2118690168,65.9291694094
000333,美的集团,2009-12-31 00:00:00,52065829973.51,8581441062.39,6371411310.84,37.1627657661,6927577030.5,71.1919452486,10536815594.65,45.4203660005,35484688373.4,13969628447.43,78.886501223,3251626812.79,137.4342013982,16581141600.11,48.707882741,45.0355829172,43.3810729042,108.1158547608,68.1535056513
000333,美的集团,2009-03-31 00:00:00,38641144500.0,7760572000.0,4647597900.0,10.1510806513,5692895700.0,31.2021819703,7826474300.0,-5.5816547042,27025331300.0,8595921100.0,8.8577301204,1826181000.0,110.7571252725,11615813100.0,32.2429333841,18.9063254851,13.9663131453,91.1615064786,69.9392620216
000333,美的集团,2009-06-30 00:00:00,42305244560.56,7957100219.61,5002165659.34,-7.6044390337,7276547845.6,32.7677848925,5535398723.19,-39.5680910309,29485251001.99,9921894897.35,-7.6091236239,1109174335.51,47.2678560361,12819993558.57,17.3594905471,7.9719489959,4.3430073542,97.0730288145,69.6964438056
000333,美的集团,2010-03-31 00:00:00,62881451009.26,8579311419.16,7410602040.69,59.4501546851,9930584781.9,74.4381999112,12109517098.35,54.725060534,45308342399.78,15432540266.22,79.5332936015,4055040947.67,122.0503305899,17573108609.48,51.2860826719,62.7318544078,67.6513856457,110.3863873813,72.0535892104
000333,美的集团,2010-12-31 00:00:00,70960357054.67,11844415257.76,9405374647.05,47.6183876412,6911103283.8,-0.2377995456,19749981207.64,87.4378556807,48412191687.61,16060291692.89,14.965775599,4198012791.54,29.1049998428,22548165367.06,35.9868090561,36.2896876719,36.4312155659,116.2867444114,68.2242785931
000333,美的集团,2011-03-31 00:00:00,97213276704.8,12219931845.74,14996762836.75,102.3690214966,11536137356.79,16.1677545699,18282762817.04,50.9784632083,69134886556.87,23729410666.42,53.7621820975,5141641183.94,26.7962827082,28078390147.93,59.7804393742,54.5976995513,52.5875432539,119.4753146897,71.1167125523
000333,美的集团,2010-06-30 00:00:00,68609996480.73,8765822978.8,12078868243.05,141.4727753068,11313024369.65,55.4724109523,9802081636.87,77.0799562425,49135649545.74,13336179881.41,34.4116221688,3819818708.27,244.3839787831,19474346934.99,51.9060586577,62.1784655624,66.644840644,113.9125887982,71.6158753332
000333,美的集团,2010-09-30 00:00:00,73445976818.55,9688206388.98,13494363918.73,83.1550552313,9593571415.6,58.7406180471,11703660444.39,66.7512891009,52170339180.0,13245962276.14,12.0600276239,4468557902.02,49.2853198553,21275637638.55,33.5885730931,57.1221663627,69.2838404239,111.8430389846,71.0322626778
000333,美的集团,2006-12-31 00:00:00,19400729172.67,4706689486.13,1737420151.89,7.3783539692,1971201284.07,2.1265912912,6197575057.86,26.0464713892,13540119093.47,6746539135.81,39.1091944781,719602378.62,-33.3962130419,5860610079.2,19.4364127049,20.3161595777,20.7009746744,92.3447880236,69.7918051067
