SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_YOY,ACCOUNTS_RECE,ACCOUNTS_RECE_YOY,INVENTORY,INVENTORY_YOY,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_YOY,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_YOY,TOTAL_EQUITY,TOTAL_EQUITY_YOY,TOTAL_ASSETS_YOY,TOTAL_LIAB_YOY,CURRENT_RATIO,DEBT_ASSET_RATIO,PARENT_NETPROFIT,TOTAL_REVENUE,TOTAL_OPERATE_COST,TOTAL_EXPENSE_YOY,TOI_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_YOY,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO,NETCASH_OPERATE,NETCASH_OPERATE_YOY,SALES_SERVICES_CASH,SALES_SERVICES_CASH_YOY,PAY_STAFF_CASH,PAY_STAFF_CASH_YOY,NETCASH_INVEST,NETCASH_INVEST_YOY,RECEIVE_INVEST_INCOME,RECEIVE_INVEST_INCOME_YOY,CONSTRUCT_LONG_ASSET,CONSTRUCT_LONG_ASSET_YOY,NETCASH_FINANCE,NETCASH_FINANCE_YOY,BASIC_EPS,DEDUCT_BASIC_EPS,WEIGHTAVG_ROE,OPERATE_INCOME_YOY,NETPROFIT_YOY,BOOK_VALUE_PER_SHARE,NETCASH_OPERATE_PER_SHARE,GROSS_MARGIN,OPERATE_INCOME_MOM,NETPROFIT_MOM,QDATE
333,美的集团,2009-09-30 00:00:00,46744503667.92,8013690988.32,7367726706.58,51.5247142118,6043551759.86,38.8187880351,7018632663.95,-22.8313173211,30818263012.8,11820416750.74,31.3416777557,2993300283.21,198.171208069,15926240655.12,40.233641176,25.4289691716,18.9399444686,109.2118690168,65.9291694094,,,,,,,,,,,,,,,,,,4436342714.99,162.9462589408,34279679385.67,1259.0879182332,2442128172.73,89.6990325512,-1213121175.59,-44.5577742532,265895614.99,9.7663094389,1370019480.15,50.3206274421,-500331823.88,-18.3771192101,,,,,,,,,,,
333,美的集团,2009-12-31 00:00:00,52065829973.51,8581441062.39,6371411310.84,37.1627657661,6927577030.5,71.1919452486,10536815594.65,45.4203660005,35484688373.4,13969628447.43,78.886501223,3251626812.79,137.4342013982,16581141600.11,48.707882741,45.0355829172,43.3810729042,108.1158547608,68.1535056513,,,,,,,,,,,,,,,,,,3524105320.9,204.1462669165,47447119813.02,2748.542255058,3430568219.69,198.7277994499,-3183568865.79,-184.4194881374,241340482.25,13.9805011544,2047096214.96,118.585289669,1392381795.78,80.658640945,,,,,,,,,,,
333,美的集团,2009-03-31 00:00:00,38641144500.0,7760572000.0,4647597900.0,10.1510806513,5692895700.0,31.2021819703,7826474300.0,-5.5816547042,27025331300.0,8595921100.0,8.8577301204,1826181000.0,110.7571252725,11615813100.0,32.2429333841,18.9063254851,13.9663131453,91.1615064786,69.9392620216,,,,,,,,,,,,,,,,,,974804500.0,39763.5937181318,8814066800.0,359537.703446869,809549400.0,33022.6147256782,-399332100.0,-16289.296349174,3595800.0,146.6775443606,363680900.0,14835.0356924332,-573020900.0,-23374.2973689578,,,,,,,,,,,
333,美的集团,2009-06-30 00:00:00,42305244560.56,7957100219.61,5002165659.34,-7.6044390337,7276547845.6,32.7677848925,5535398723.19,-39.5680910309,29485251001.99,9921894897.35,-7.6091236239,1109174335.51,47.2678560361,12819993558.57,17.3594905471,7.9719489959,4.3430073542,97.0730288145,69.6964438056,,,,,,,,,,,,,,,,,,2801266970.28,784.6263459421,23226158782.22,6505.5763298927,1680151066.15,470.6051960239,-1025455853.05,-287.2270609835,229972111.24,64.4144878818,996328464.09,279.0685680554,-1418680950.86,-397.3682131481,,,,,,,,,,,
333,美的集团,2010-03-31 00:00:00,62881451009.26,8579311419.16,7410602040.69,59.4501546851,9930584781.9,74.4381999112,12109517098.35,54.725060534,45308342399.78,15432540266.22,79.5332936015,4055040947.67,122.0503305899,17573108609.48,51.2860826719,62.7318544078,67.6513856457,110.3863873813,72.0535892104,,,,,,,,,,,,,,,,,,786801236.87,75.7128806358,12628753937.23,1215.2489022927,1448149807.05,139.3536109833,-1094410925.28,-105.3137690555,55298473.47,5.3213016515,845229607.31,81.3353682853,1347795723.25,129.6966653508,,,,,,,,,,,
333,美的集团,2010-12-31 00:00:00,70960357054.67,11844415257.76,9405374647.05,47.6183876412,6911103283.8,-0.2377995456,19749981207.64,87.4378556807,48412191687.61,16060291692.89,14.965775599,4198012791.54,29.1049998428,22548165367.06,35.9868090561,36.2896876719,36.4312155659,116.2867444114,68.2242785931,3705968984.74,103847954820.99,98860652682.15,53.1135757289,60.9014755233,85158517360.89,85158517360.89,60.5027700487,8650948626.79,3925081981.58,777675172.92,5509166009.37,7842230452.17,1435951841.51,,0.0,,4731690836.22,160.689331575,61381152712.72,2084.518355512,5790663016.41,196.6522754108,-5913099614.41,-200.8102510211,384182621.62,13.0469320181,6050450581.69,205.4747221135,4133064812.93,140.359851295,0.0,,,60.9014755233,129.9775078082,11.03285350227,4.73169083622,17.9969239571,5.7655,81.2075,2010Q4
333,美的集团,2011-03-31 00:00:00,97213276704.8,12219931845.74,14996762836.75,102.3690214966,11536137356.79,16.1677545699,18282762817.04,50.9784632083,69134886556.87,23729410666.42,53.7621820975,5141641183.94,26.7962827082,28078390147.93,59.7804393742,54.5976995513,52.5875432539,119.4753146897,71.1167125523,,,,,,,,,,,,,,,,,,-827900090.72,-14.8067002796,22643343011.73,404.9681804143,2168155024.61,38.7766857004,-2210555980.2,-39.5350117932,95278885.82,1.7040291711,1817732624.86,32.5095050315,8635907887.8,154.4501579001,,,,,,,,,,,
333,美的集团,2010-06-30 00:00:00,68609996480.73,8765822978.8,12078868243.05,141.4727753068,11313024369.65,55.4724109523,9802081636.87,77.0799562425,49135649545.74,13336179881.41,34.4116221688,3819818708.27,244.3839787831,19474346934.99,51.9060586577,62.1784655624,66.644840644,113.9125887982,71.6158753332,,,,,,,,,,,,,,,,,,6062067982.84,106.2131182914,34855398113.29,610.6992751287,2525691269.7,44.2524805653,-1653597816.4,-28.9725850942,121401287.17,2.1270644459,2035853644.27,35.6700658183,1304470618.66,22.8555490502,,,,,,,,,,,
333,美的集团,2010-09-30 00:00:00,73445976818.55,9688206388.98,13494363918.73,83.1550552313,9593571415.6,58.7406180471,11703660444.39,66.7512891009,52170339180.0,13245962276.14,12.0600276239,4468557902.02,49.2853198553,21275637638.55,33.5885730931,57.1221663627,69.2838404239,111.8430389846,71.0322626778,,,,,,,,,,,,,,,,,,9527622126.24,133.7594485142,55708908931.71,782.1041637986,3707766610.27,52.0537874443,-4238927255.56,-59.5108164957,160327206.98,2.2508532038,3909811218.37,54.8903163281,1848258337.93,25.9479241218,,,,,,,,,,,
333,美的集团,2006-12-31 00:00:00,19400729172.67,4706689486.13,1737420151.89,7.3783539692,1971201284.07,2.1265912912,6197575057.86,26.0464713892,13540119093.47,6746539135.81,39.1091944781,719602378.62,-33.3962130419,5860610079.2,19.4364127049,20.3161595777,20.7009746744,92.3447880236,69.7918051067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
