SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,NETCASH_OPERATE,NETCASH_OPERATE_RATIO,SALES_SERVICES,SALES_SERVICES_RATIO,PAY_STAFF_CASH,PSC_RATIO,NETCASH_INVEST,NETCASH_INVEST_RATIO,RECEIVE_INVEST_INCOME,RII_RATIO,CONSTRUCT_LONG_ASSET,CLA_RATIO,NETCASH_FINANCE,NETCASH_FINANCE_RATIO
000651,格力电器,2022-06-30 00:00:00,13144260367.59,169.8571409196,91679881084.77,1184.7363066015,5013445051.46,64.7864100972,-13476487783.55,-174.1503607305,21302685.89,0.2752846655,3086395100.46,39.8840431376,7965863809.01,102.9391394962
000651,格力电器,2023-06-30 00:00:00,30859691934.6,873.0874410324,127928412486.19,3619.3715261193,5631474906.1,159.3266071944,-23975779952.22,-678.3266796572,518539244.92,14.6705969516,2794061386.57,79.0500407865,-3463424629.76,-97.9877749141
000651,格力电器,2022-03-31 00:00:00,3394256789.15,36.0288398757,34938337935.53,370.8581469227,2330013831.74,24.7322758609,-3296840899.64,-34.9948045324,4110000.0,0.0436262019,1705506674.22,18.1033524243,9287596918.76,98.5845688771
000651,格力电器,2023-03-31 00:00:00,15065152965.6,137.5432568264,55960307451.44,510.911701823,2880948358.19,26.3027544983,-6787690019.02,-61.970893603,59480403.7,0.5430498091,1652039470.92,15.0829460381,2725142736.06,24.8802656097
000651,格力电器,2021-12-31 00:00:00,1894363258.72,33.0795257975,169646517565.79,2962.381332325,9848593392.99,171.9769414408,29751983559.35,519.5315645762,161515418.96,2.820395425,5727074800.44,100.0066474755,-25330583890.48,-442.3247227869
000651,格力电器,2022-12-31 00:00:00,28668435921.27,1590.1175993154,191722692750.88,10634.0516367381,10236422672.26,567.7713248777,-37056832791.41,-2055.3867032833,96017802.71,5.3257037934,6036136315.75,334.7991014892,9922792313.11,550.375567567
000651,格力电器,2022-09-30 00:00:00,22458621192.42,132.6226161929,144081110540.93,850.8275579434,7541771860.71,44.5356598844,-15795126555.89,-93.273357656,74246929.39,0.4384428561,4612890085.27,27.2400316154,10090458636.42,59.586161211
000651,格力电器,2021-09-30 00:00:00,6461831241.56,661.6239645182,131532944183.95,13467.5983854267,7326186002.81,750.1248557532,22393649107.64,2292.8755562872,111310742.57,11.3970563513,4450624543.22,455.6974245827,-27815855233.01,-2848.0527775722
000651,格力电器,2021-06-30 00:00:00,-6071219912.21,-105.0739796251,75402896275.55,1304.9901834382,4939102179.61,85.4805342733,5716517863.65,98.9351876916,46691194.25,0.8080797046,3073497925.07,53.1927130011,6142534070.38,106.308206438
000651,格力电器,2020-12-31 00:00:00,19238637309.16,895.8527859879,155890384313.86,7259.0814438716,8901277136.77,414.4905792277,97730150.18,4.5508330921,305411730.38,14.2215867547,4528646805.03,210.8777660209,-21111497498.2,-983.0630697079
