SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_YOY,ACCOUNTS_RECE,ACCOUNTS_RECE_YOY,INVENTORY,INVENTORY_YOY,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_YOY,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_YOY,TOTAL_EQUITY,TOTAL_EQUITY_YOY,TOTAL_ASSETS_YOY,TOTAL_LIAB_YOY,CURRENT_RATIO,DEBT_ASSET_RATIO,PARENT_NETPROFIT,TOTAL_REVENUE,TOTAL_OPERATE_COST,TOTAL_EXPENSE_YOY,TOI_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_YOY,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO,NETCASH_OPERATE,NETCASH_OPERATE_YOY,SALES_SERVICES,SALES_SERVICES_YOY,PAY_STAFF_CASH,PAY_STAFF_CASH_YOY,NETCASH_INVEST,NETCASH_INVEST_YOY,RECEIVE_INVEST_INCOME,RECEIVE_INVEST_INCOME_YOY,CONSTRUCT_LONG_ASSET,CONSTRUCT_LONG_ASSET_YOY,NETCASH_FINANCE,NETCASH_FINANCE_YOY,BASIC_EPS,DEDUCT_BASIC_EPS,WEIGHTAVG_ROE,OPERATE_INCOME_YOY,NETPROFIT_YOY,BOOK_VALUE_PER_SHARE,NETCASH_OPERATE_PER_SHARE,GROSS_MARGIN,OPERATE_INCOME_MOM,NETPROFIT_MOM,QDATE
858,五粮液,2022-12-31 00:00:00,152811927251.18,5312971445.61,92358426975.79,12.1726540187,35686942.32,-44.4069015162,15980657013.57,14.0248339786,36124899211.08,7246802709.58,34.1116012679,16160671.49,47.3117963509,116687028040.1,15.0851762936,12.6041979687,5.2634124491,384.7009507506,23.6401044479,26690661397.42,73968640704.54,37049016916.17,9.1035588292,11.7198278318,18178425659.64,18178425659.64,11.3957491408,6844237013.17,3068119268.45,-2026351047.92,37174423453.63,37103520716.24,9132888784.02,,,,24431136261.48,254.2424140535,81770582903.92,850.9448833466,7879082833.54,81.9936092487,-1716454550.53,-17.8622698457,23038080.0,0.2397455858,1780534893.52,18.5291213962,-13105431458.2,-136.3815622607,6.876,6.869,25.28,11.7198278318,14.17,29.37645869065,6.294076122578,75.4241453047,24.9472,37.0303,2022Q4
858,五粮液,2023-09-30 00:00:00,151803365286.04,5250181525.89,98147708750.12,23.7273478134,140622406.52,10.3823469389,15627196018.02,4.4501817018,27163408424.31,7453945407.37,-2.0700868411,21076698.67,27.3564496621,124639956861.73,13.6313777364,12.7103453601,8.6687366127,500.6584484335,17.8938117565,22832929162.29,62536387639.06,31152693814.22,11.1706837661,12.1131924611,15096766716.19,15096766716.19,12.6427548843,6227271185.18,2403021982.04,-1812647963.9,31684082826.09,31628062890.29,7794082868.99,,,,22388745174.97,462.5487664952,66818474225.22,1380.4615931096,6169872501.92,127.4688193953,-2418850027.83,-49.9731489177,23638368.0,0.4883658229,2443147960.19,50.4751412605,-15129595745.93,-312.5756175775,5.882,,19.2,12.1131924611,14.24,31.476796414299,5.767904730753,75.8592280652,18.5312,28.959,2023Q3
858,五粮液,2023-06-30 00:00:00,150573350683.26,5255603976.05,92557297986.15,22.882953906,78578720.94,-36.0972687479,16098267801.05,12.1007694597,30778440179.94,7615342474.91,16.4091368111,18726957.9,58.9721359632,119794910503.32,13.5644571666,15.544903483,23.9586462635,441.5644371437,20.4408283672,17036708791.18,45506384818.37,22026681871.19,8.7983583386,10.3924312144,10567960344.77,10567960344.77,11.0744244127,4320445619.61,1756898762.85,-1250071396.41,23715565857.31,23672267218.43,5879733314.24,,,,11329818886.3,1377.4140717487,43051685416.56,5233.9757502191,4794521049.72,582.8902321789,-1344448683.36,-163.4503211206,,,1345043512.81,163.5226370564,-10807912902.24,-1313.9637506281,4.389,4.364,14.19,10.3924312144,12.83,29.983544039602,2.918846743851,76.7769723151,-53.8598,-64.1637,2023Q2
858,五粮液,2021-12-31 00:00:00,135620812221.13,5610147000.37,82335955927.74,20.7102573007,64193116.22,54.6964832623,14015067118.25,5.9478168408,34228928576.26,5403561392.95,59.73280593,10970385.19,-54.1942397223,101391883644.87,15.5354482586,19.0772450347,30.9702297334,363.3364619003,25.2386989988,23377074353.4,66209053612.11,33957661247.5,14.1873303375,15.5056348291,16318778588.82,16318778588.82,10.1729748105,6503506131.9,2899968867.37,-1731702085.22,32552428970.01,32450404445.7,7942954115.44,,,,26774941873.05,191.1381024407,80952960804.29,577.8983718601,7240759270.94,51.6895608528,-1496849812.04,-10.6855519638,41720016.0,0.2978264054,1539129180.86,10.9873714175,-11269456954.06,-80.4491986555,6.023,6.01,25.3,15.5056348291,17.15,25.522540714731,6.897899488707,75.3526478653,27.1335,46.5842,2021Q4
858,五粮液,2023-03-31 00:00:00,160421137093.8,5254759793.22,101128316229.65,28.7420683584,88451118.86,-50.3779782539,16065154749.7,16.0241566729,30627634152.37,7492576221.73,19.232651421,16420891.54,38.3339590696,129793502941.43,15.1198852263,16.4121822134,22.2267543969,476.1747267473,19.0920191112,12542086212.64,31138862489.34,13857936959.77,11.7526053439,13.0342727026,6727660977.75,6727660977.75,13.1046880527,2112310474.06,1097441209.36,-614457535.93,17472224642.89,17424023383.51,4317548482.18,,,,9535617536.41,114.6266923324,28636841576.57,344.2405713353,3223644751.01,38.7511069579,-1104263756.27,-13.2742427389,,,1104203949.98,13.2735238136,-112508193.32,-1.3524495935,3.231,,10.43,13.0342727026,15.89,32.607616034845,2.456615280092,78.3946475885,71.1966,87.1583,2023Q1
858,五粮液,2022-09-30 00:00:00,134684500168.15,5412997719.58,79325800225.0,8.4337570908,127395738.92,9.4309017217,14961387106.67,10.2938542914,24996525469.06,7611510280.09,52.590381335,16549376.75,32.4744953058,109687974699.09,15.3942090547,13.886083664,7.7089822539,487.8002881753,18.5593185837,19987257831.38,55779686820.31,28022400113.83,8.6394561979,12.1858253277,13402341528.04,13402341528.04,8.9477319778,5879580536.31,2230716402.02,-1493820217.51,27894456256.55,27827611456.48,6869963351.73,,,,10785477248.11,296.3252144287,49024418045.48,1346.9196453144,6120956969.3,168.1700164687,-1489714852.12,-40.9291181871,,,1493291829.73,41.0273937323,-12935505733.02,-355.3960962416,5.149,,19.25,12.1858253277,15.36,27.649297044257,2.778610625858,75.9727200133,6.4581,14.3667,2022Q3
858,五粮液,2022-06-30 00:00:00,130315873867.5,5489408751.66,75321511278.92,-1.7308924048,122966138.38,-8.368705994,14360532830.1,8.4679244831,24829603345.71,6541876938.12,49.6464574381,11780025.34,-6.8786667123,105486270521.79,16.2460036773,4.5925859815,-26.6477087308,476.8818176133,19.053398952,15098908450.93,41222377583.11,20245417493.01,8.8671130088,12.165010784,9514305746.48,9514305746.48,3.3669294308,4212810972.96,1632406100.73,-1000604416.16,21077308833.45,21045000190.85,5195391597.49,,,,1887074640.92,24.5921814726,31434148170.48,409.6468997469,4601009480.76,59.959928269,-914445065.19,-11.9169631673,,,915626539.57,11.9323600317,-8646103533.4,-112.6752183052,3.89,3.893,14.43,12.165010784,14.38,26.389407130386,0.486157963012,76.9195609174,-50.3625,-60.4904,2022Q2
858,五粮液,2020-12-31 00:00:00,113893139013.72,5866880860.03,68209577022.61,7.8602839979,41496170.35,-69.1362847956,13228273631.45,-3.2994044911,26134892369.01,3382875146.71,3.8433007883,23949793.92,-99.8088711659,87758246644.71,15.3256303666,7.0454699186,-13.7488619637,395.5172531625,22.9468540382,19954809594.52,57321059453.15,29738554309.94,13.8398739729,14.3719588958,14811961478.65,14811961478.65,15.698021596,5578918523.98,2609529686.09,-1485519200.21,27826423936.21,27678447217.7,6765106808.16,,,,14698327593.21,390.6056281082,62667576569.99,1665.3804967206,5740856054.71,152.5623014529,-1722015348.58,-45.7622734681,,,993760087.19,26.4090101805,-9213223328.76,-244.8398882397,5.141,5.151,24.94,14.3719588958,14.67,22.08001749155,3.786659439664,74.1596515836,26.4647,46.5925,2020Q4
858,五粮液,2022-03-31 00:00:00,137804423938.79,5551636200.39,78551104172.22,7.0474105996,178249728.14,23.4066678526,13846387864.72,9.9823321633,25058044209.3,6283996986.09,61.6036725488,11870470.31,-1.3790994134,112746379729.49,15.5883606535,14.6243063218,10.4783932681,505.3597570532,18.1837734182,10822866097.02,27548160168.43,12400549335.85,9.4202469894,13.2511480885,5948171639.55,5948171639.55,3.7550963286,2033172042.82,980427056.35,-513308557.41,15168493250.39,15136404211.22,3765442500.78,,,,-3401025898.78,-84.7106823255,13735340195.15,342.1114906305,3068475141.33,76.4277105371,-460220708.19,-11.4628971879,,,460335221.83,11.4657494239,-153625904.28,-3.8264204866,2.788,,10.36,13.2511480885,16.08,28.310783649896,-0.876189943549,78.4080983878,67.0775,78.9012,2022Q1
858,五粮液,2021-09-30 00:00:00,118262474074.98,5631331698.39,73156000818.63,27.2548325088,116416603.46,-39.7113907417,13565023366.71,3.8083207511,23207466031.13,4988197954.22,61.7240770625,12492500.32,,95055008043.85,15.8193341076,18.2876094764,29.6002978755,476.1788442264,19.6236940015,17327440998.66,49720797308.73,25793943650.43,15.323429181,17.0100244939,12301625086.4,12301625086.4,13.6660305582,5399476624.76,2157148213.93,-1242824762.57,24106837885.46,24023155435.49,5852580706.25,,,,15397893819.46,319.3196062654,51964936525.86,1077.6423883423,5710336873.56,118.4202556199,-877999093.55,-18.2078359639,41720016.0,0.8651845011,914624704.11,18.9673733188,-9697800022.88,-201.1117703015,4.464,,19.03,17.0100244939,19.13,23.964002771965,3.966885321657,75.2585924759,4.3659,6.4567,2021Q3
