SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,TOI_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO
000858,五粮液,2022-09-30 00:00:00,19987257831.38,55779686820.31,28022400113.83,8.6394561979,12.1858253277,13402341528.04,13402341528.04,8.9477319778,5879580536.31,2230716402.02,-1493820217.51,27894456256.55,27827611456.48,6869963351.73,,,
000858,五粮液,2023-09-30 00:00:00,22832929162.29,62536387639.06,31152693814.22,11.1706837661,12.1131924611,15096766716.19,15096766716.19,12.6427548843,6227271185.18,2403021982.04,-1812647963.9,31684082826.09,31628062890.29,7794082868.99,,,
000858,五粮液,2022-06-30 00:00:00,15098908450.93,41222377583.11,20245417493.01,8.8671130088,12.165010784,9514305746.48,9514305746.48,3.3669294308,4212810972.96,1632406100.73,-1000604416.16,21077308833.45,21045000190.85,5195391597.49,,,
000858,五粮液,2023-06-30 00:00:00,17036708791.18,45506384818.37,22026681871.19,8.7983583386,10.3924312144,10567960344.77,10567960344.77,11.0744244127,4320445619.61,1756898762.85,-1250071396.41,23715565857.31,23672267218.43,5879733314.24,,,
000858,五粮液,2022-03-31 00:00:00,10822866097.02,27548160168.43,12400549335.85,9.4202469894,13.2511480885,5948171639.55,5948171639.55,3.7550963286,2033172042.82,980427056.35,-513308557.41,15168493250.39,15136404211.22,3765442500.78,,,
000858,五粮液,2021-12-31 00:00:00,23377074353.4,66209053612.11,33957661247.5,14.1873303375,15.5056348291,16318778588.82,16318778588.82,10.1729748105,6503506131.9,2899968867.37,-1731702085.22,32552428970.01,32450404445.7,7942954115.44,,,
000858,五粮液,2022-12-31 00:00:00,26690661397.42,73968640704.54,37049016916.17,9.1035588292,11.7198278318,18178425659.64,18178425659.64,11.3957491408,6844237013.17,3068119268.45,-2026351047.92,37174423453.63,37103520716.24,9132888784.02,,,
000858,五粮液,2023-03-31 00:00:00,12542086212.64,31138862489.34,13857936959.77,11.7526053439,13.0342727026,6727660977.75,6727660977.75,13.1046880527,2112310474.06,1097441209.36,-614457535.93,17472224642.89,17424023383.51,4317548482.18,,,
000858,五粮液,2021-09-30 00:00:00,17327440998.66,49720797308.73,25793943650.43,15.323429181,17.0100244939,12301625086.4,12301625086.4,13.6660305582,5399476624.76,2157148213.93,-1242824762.57,24106837885.46,24023155435.49,5852580706.25,,,
000858,五粮液,2021-06-30 00:00:00,13200371746.73,36751547826.7,18596449316.49,17.7975477414,19.4491485619,9204400090.89,9204400090.89,17.4984107762,3554857485.19,1533734323.22,-857710696.05,18300424226.45,18275175134.39,4432111077.2,,,
000858,五粮液,2020-12-31 00:00:00,19954809594.52,57321059453.15,29738554309.94,13.8398739729,14.3719588958,14811961478.65,14811961478.65,15.698021596,5578918523.98,2609529686.09,-1485519200.21,27826423936.21,27678447217.7,6765106808.16,,,
000858,五粮液,2021-03-31 00:00:00,9323613990.16,24324839644.81,11332956812.88,19.2405657232,20.1925462919,5732895876.95,5732895876.95,20.7029810486,1724010806.85,950385950.17,-454155608.37,13027144814.43,13007054192.0,3224009402.12,,,
000858,五粮液,2020-09-30 00:00:00,14545454674.88,42492767199.91,22366611740.23,13.3606068454,14.5307222426,10822604630.41,10822604630.41,11.3771350102,4873244846.97,1873808131.59,-1098737209.81,20226748279.42,20124993926.44,4898103793.33,,,
000858,五粮液,2020-06-30 00:00:00,10855391967.86,30767525988.4,15786788157.35,11.2766990418,13.3198598995,7833637944.62,7833637944.62,10.1839467253,3184157237.67,1296057658.8,-743265259.6,15057459890.59,15001073989.03,3630088931.39,,,
000858,五粮液,2019-12-31 00:00:00,17402164190.16,50118105877.14,26123144090.12,21.427968217,25.2007706636,12802259947.34,12802259947.34,22.0799555744,4985579336.77,2655347148.09,-1430745865.74,24245799837.73,24106012043.53,5877756764.92,,,
000858,五粮液,2020-03-31 00:00:00,7704289543.99,20238226408.6,9504279641.87,12.7135303039,15.0536389374,4749589303.55,4749589303.55,11.4955480306,1728622544.17,700746397.5,-400746843.68,10740322452.1,10701030417.23,2640537673.25,,,
000858,五粮液,2019-09-30 00:00:00,12543547315.61,37101632092.99,19730497535.82,21.9494834669,26.8419403259,9717079389.25,9717079389.25,25.2226989714,4042574571.39,1792883205.11,-1030327974.61,17478778658.39,17353833183.43,4227634553.69,,,
000858,五粮液,2019-06-30 00:00:00,9335637379.26,27151044852.75,14186966627.59,21.7155576836,26.7485885684,7109600061.93,7109600061.93,22.1878225731,2649368406.35,1266083848.82,-691853523.85,13062943442.16,12954621543.45,3147527219.63,,,
000858,五粮液,2018-12-31 00:00:00,13384246683.6,40030189599.87,21513284355.9,26.953788128,32.6083439748,10486782934.27,10486782934.27,24.1026583218,3778433675.01,2340498705.44,-1085010763.65,18718393264.18,18606822656.2,4568172529.72,,,
000858,五粮液,2019-03-31 00:00:00,6475113303.33,17590253203.22,8432243774.32,20.2204115948,26.5698912319,4259891437.32,4259891437.32,14.3425211772,1273704365.26,776566310.96,-352553213.17,9182693616.57,9072772283.21,2260978527.74,,,
000858,五粮液,2018-09-30 00:00:00,9494416489.82,29250287403.09,16179238300.08,31.0129287951,33.091383448,7759838646.72,7759838646.72,22.200130383,3077131771.98,1673818880.41,-794183981.64,13178208219.97,13190363030.27,3226898087.01,,,
000858,五粮液,2018-06-30 00:00:00,7110255593.99,21421181221.36,11655836688.08,34.3005628664,37.1295445939,5818583155.19,5818583155.19,31.3886163246,2155689822.07,1141660814.55,-526618366.85,9856079748.24,9855470340.25,2391579054.36,,,
000858,五粮液,2018-03-31 00:00:00,4971013118.03,13897660045.38,7013986778.5,34.3869060595,36.8040492868,3725553183.07,3725553183.07,24.4608577907,1002891971.85,585207632.54,-264236441.21,6893629347.95,6903377433.91,1689408345.84,,,
000858,五粮液,2017-12-31 00:00:00,9673721498.15,30186780409.14,16954329682.61,10.5235869416,22.9915067593,8450087271.36,8450087271.36,15.5290622846,3625397914.06,2191184283.19,-890505901.86,13374535185.09,13391688208.91,3305718978.88,,,
000858,五粮液,2017-09-30 00:00:00,6964763242.98,21977596629.7,12351635651.33,14.8544529538,24.169711199,6350106683.52,6350106683.52,20.1040843964,2696626088.88,1570156351.09,-639724334.28,9686159117.42,9694812202.85,2429837036.36,,,
000858,五粮液,2017-06-30 00:00:00,4971505554.13,15621127660.56,8681153496.36,8.8771203448,17.8451531285,4428529135.9,4428529135.9,11.377223236,2174133716.02,1076103861.25,-427404960.65,6988250757.17,6996410414.3,1806600454.54,,,
000858,五粮液,2016-12-31 00:00:00,6784533260.36,24543792660.59,15340010355.95,14.0759161543,13.3176371551,7314252452.38,7314252452.38,9.6266894278,4694545075.85,2143703443.82,-765864110.92,9230905193.69,9337410656.93,2280645088.07,,,
000858,五粮液,2017-03-31 00:00:00,3593112440.79,10158807519.1,5219248648.67,7.3320391738,15.1066070495,2993353291.31,2993353291.31,12.4629519367,1096463607.3,583795810.88,-216710540.4,4950423445.97,4953232381.15,1214027296.16,,,
000858,五粮液,2016-09-30 00:00:00,5101313177.67,17699643832.21,10754163494.47,20.4452150149,16.9733959097,5287169637.43,5287169637.43,13.5512127029,3042710866.35,1614574317.92,-559238520.83,6955627820.83,7026635923.53,1730020354.03,,,
000858,五粮液,2016-06-30 00:00:00,3886813135.28,13255638646.02,7973349652.22,17.89636082,18.1912556934,3976153298.88,3976153298.88,17.7661407719,2195621788.48,1107396572.58,-341637035.05,5292436476.89,5322974404.95,1296349816.03,,,
000858,五粮液,2016-03-31 00:00:00,2903112187.15,8825564213.47,4862712652.11,30.1772367151,31.0318356023,2661635000.47,2661635000.47,29.4680548926,1125781380.21,572834323.13,-179087361.55,3962851561.36,3990542632.03,982264538.23,,,
000858,五粮液,2015-12-31 00:00:00,6176119256.18,21659287359.66,13447194528.95,3.491084878,3.0830549198,6671963269.67,6671963269.67,15.5912903876,3568061356.21,2128805680.22,-732111447.74,8246237394.65,8287493983.15,1877009646.88,,,
000858,五粮液,2015-09-30 00:00:00,4603019813.79,15131341357.21,8928676405.4,3.4726837113,0.4182739979,4656198301.7,4656198301.7,22.9222787809,2197272200.48,1443131572.12,-555911422.9,6214609306.72,6249888064.71,1472777535.06,,,
000858,五粮液,2015-06-30 00:00:00,3297527845.59,11215414006.94,6763015920.73,10.5267294807,-3.8338052293,3376312811.83,3376312811.83,18.1665821548,1850332525.56,1006746030.52,-357654118.22,4464342441.12,4485866127.39,1064662451.06,,,
000858,五粮液,2015-03-31 00:00:00,2200799535.17,6735435074.16,3735455425.86,22.1725501501,0.2319017557,2055823734.03,2055823734.03,22.2246159102,816948847.01,538900979.45,-173061007.17,2999979648.3,3010242777.47,720319520.79,,,
000858,五粮液,2014-12-31 00:00:00,5834915278.94,21011491536.14,12993577702.66,-2.1817173662,-14.99720368,5772029404.03,5772029404.03,-12.6827434323,4308897447.57,2047028546.72,-657775551.17,8032401375.52,8015916148.56,1957701185.49,,,
000858,五粮液,2014-09-30 00:00:00,4707288391.6,15068314515.67,8629017906.13,-5.3065544317,-21.3793045899,3787920585.17,3787920585.17,-29.0578634679,2894737834.01,1377206394.14,-490454942.11,6433522748.06,6452091681.51,1557893877.46,,,
000858,五粮液,2014-06-30 00:00:00,4001813151.27,11662532799.27,6118896263.83,-15.9845073422,-24.8542219158,2857248428.67,2857248428.67,-34.7167901705,1791032877.01,977690587.14,-344899041.83,5537872273.96,5547543373.61,1385095939.41,,,
000858,五粮液,2014-03-31 00:00:00,2619140414.17,6719851620.27,3057524313.99,-11.7267990501,-22.5448750943,1682004658.98,1682004658.98,-17.2675230237,638101750.49,533715812.48,-245115593.8,3662327306.28,3668316314.31,932767728.71,,,
000858,五粮液,2013-12-31 00:00:00,7972814983.24,24718588617.99,13283383589.25,-1.6241679188,-9.1263304278,6610410852.24,6610410852.24,-17.5319598245,3382176991.35,2263637925.03,-826879677.56,11432432905.09,11247079416.6,2924864055.65,,,
000858,五粮液,2013-09-30 00:00:00,7103846987.47,19165837235.44,9112582031.78,-12.6075784846,-9.2810290709,5339450953.04,5339450953.04,-17.5453388163,1552031028.34,1521231364.8,-659404182.44,10043718813.2,9844446542.87,2433760593.79,,,
000858,五粮液,2013-06-30 00:00:00,5791034483.35,15519877625.32,7283057053.24,-10.2594708598,3.124101596,4376697218.37,4376697218.37,-16.6706127185,1195041137.17,1085694375.8,-471944898.51,8227284181.62,8018840509.57,1978855837.84,,,
000858,五粮液,2013-03-31 00:00:00,3626866317.84,8675799862.76,3463706177.06,-14.3036275538,5.4084223056,2033064547.87,2033064547.87,-19.3086997722,504185088.01,577974320.34,-238664090.94,5210918910.34,5021265735.68,1234975036.89,,,
000858,五粮液,2012-12-31 00:00:00,9934872820.43,27201045951.34,13502689947.56,13.9121775541,33.6621689021,8015724440.85,8015724440.85,16.2472273914,2258966257.29,2009184257.85,-789586016.6,13702135270.7,13738666127.28,3402932422.5,,,
000858,五粮液,2012-09-30 00:00:00,7801870232.83,21126603442.65,10427199376.98,15.4050198538,35.0048430687,6475620512.4,6475620512.4,21.74938563,1604891282.35,1408989421.49,-620329449.93,10695546196.02,10714823425.14,2601217500.98,,,
000858,五粮液,2012-06-30 00:00:00,5046255082.03,15049709413.35,8115683206.93,35.5516996061,42.0476697097,5252285371.53,5252285371.53,46.3294258615,1215125573.74,922708225.66,-400245467.82,6931104039.65,6953750204.06,1712386078.7,,,
000858,五粮液,2012-03-31 00:00:00,3050121093.22,8230651472.62,4041835235.48,18.8396775526,31.8052084021,2519558542.41,2519558542.41,17.840596509,482961749.51,532291967.26,-142309808.88,4188279611.04,4198837745.85,1032090586.53,,,
000858,五粮液,2011-12-31 00:00:00,6157465187.41,20350594468.71,11853596549.1,25.5275961131,30.9452478221,6895411289.13,6895411289.13,41.7878355755,2069991386.15,1750685037.93,-476587420.81,8496941733.63,8499953680.34,2105576465.36,,,
