SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,BASIC_EPS,DEDUCT_BASIC_EPS,WEIGHTAVG_ROE,YSTZ,SJLTZ,BPS,MGJYXJJE,XSMLL,YSHZ,SJLHZ,QDATE
000858,五粮液,2022-09-30 00:00:00,5.149,,19.25,12.1858253277,15.36,27.649297044257,2.778610625858,75.9727200133,6.4581,14.3667,2022Q3
000858,五粮液,2023-09-30 00:00:00,5.882,,19.2,12.1131924611,14.24,31.476796414299,5.767904730753,75.8592280652,18.5312,28.959,2023Q3
000858,五粮液,2022-06-30 00:00:00,3.89,3.893,14.43,12.165010784,14.38,26.389407130386,0.486157963012,76.9195609174,-50.3625,-60.4904,2022Q2
000858,五粮液,2023-06-30 00:00:00,4.389,4.364,14.19,10.3924312144,12.83,29.983544039602,2.918846743851,76.7769723151,-53.8598,-64.1637,2023Q2
000858,五粮液,2022-03-31 00:00:00,2.788,,10.36,13.2511480885,16.08,28.310783649896,-0.876189943549,78.4080983878,67.0775,78.9012,2022Q1
000858,五粮液,2021-12-31 00:00:00,6.023,6.01,25.3,15.5056348291,17.15,25.522540714731,6.897899488707,75.3526478653,27.1335,46.5842,2021Q4
000858,五粮液,2023-03-31 00:00:00,3.231,,10.43,13.0342727026,15.89,32.607616034845,2.456615280092,78.3946475885,71.1966,87.1583,2023Q1
000858,五粮液,2022-12-31 00:00:00,6.876,6.869,25.28,11.7198278318,14.17,29.37645869065,6.294076122578,75.4241453047,24.9472,37.0303,2022Q4
000858,五粮液,2021-09-30 00:00:00,4.464,,19.03,17.0100244939,19.13,23.964002771965,3.966885321657,75.2585924759,4.3659,6.4567,2021Q3
000858,五粮液,2021-06-30 00:00:00,3.401,3.384,14.3,19.4491485619,21.6,22.900765771574,2.243268246457,74.9550681939,-48.9135,-58.42,2021Q2
000858,五粮液,2021-03-31 00:00:00,2.402,,9.35,20.1925462919,21.02,24.482015317747,1.418349069511,76.4319273604,64.0434,72.3609,2021Q1
000858,五粮液,2020-12-31 00:00:00,5.141,5.151,24.94,14.3719588958,14.67,22.08001749155,3.786659439664,74.1596515836,26.4647,46.5925,2020Q4
000858,五粮液,2020-09-30 00:00:00,3.747,,18.48,14.5307222426,15.96,20.686431402313,1.015937629431,74.5307134753,11.3582,17.1039,2020Q3
000858,五粮液,2020-06-30 00:00:00,2.797,2.799,13.62,13.3198598995,16.28,19.735778296108,0.300940409873,74.5392660184,-47.9732,-59.0994,2020Q2
000858,五粮液,2019-12-31 00:00:00,4.483,4.484,25.26,25.2007706636,30.02,19.139155877287,5.954251951997,74.4558184646,30.8111,51.4574,2019Q4
000858,五粮液,2020-03-31 00:00:00,1.985,,9.86,15.0536389374,18.98,21.123974935282,-0.309611628846,76.5315931957,55.4816,58.5696,2020Q1
000858,五粮液,2019-09-30 00:00:00,3.232,,18.57,26.8419403259,32.1149891524,17.887453781586,4.171292576103,73.8095635122,4.077,12.1441,2019Q3
000858,五粮液,2019-06-30 00:00:00,2.405,2.42,13.7,26.7485885684,31.2981967505,17.06101537456,2.155244068506,73.8146354938,-45.6472,-55.8228,2019Q2
000858,五粮液,2018-12-31 00:00:00,3.474,3.477,22.8,32.6083439748,38.356750152,16.355920020461,3.173261962319,73.8028147279,37.6901,63.153,2018Q4
000858,五粮液,2019-03-31 00:00:00,1.668,,9.7,26.5698912319,30.257417343,18.024072315847,2.042084081723,75.7826599304,63.1764,66.4626,2019Q1
000858,五粮液,2018-09-30 00:00:00,2.47,,16.07,33.091383448,36.3207356602,15.353801777514,0.998779379437,73.4708977735,4.0617,11.4488,2018Q3
000858,五粮液,2018-06-30 00:00:00,1.859,1.853,12.37,37.1295445939,43.0201679667,14.739581873608,0.15371130134,72.8372441507,-45.8648,-56.9657,2018Q2
000858,五粮液,2018-03-31 00:00:00,1.31,,8.91,36.8040492868,38.3483873646,15.359748545822,0.631730655344,73.19294636,69.2941,83.5028,2018Q1
000858,五粮液,2017-12-31 00:00:00,2.548,2.54,19.38,22.9915067593,42.5849226014,14.050197255017,2.572776987534,72.0073252038,29.1469,35.9061,2017Q4
000858,五粮液,2017-09-30 00:00:00,1.835,,14.09,24.169711199,36.5288309188,13.336556052396,1.60516828705,71.1064554031,16.3694,44.6073,2017Q3
000858,五粮液,2017-06-30 00:00:00,1.31,1.306,10.03,17.8451531285,27.9069865491,12.811457220958,0.833698483413,71.6503876536,-46.2307,-61.6379,2017Q2
000858,五粮液,2017-03-31 00:00:00,0.947,,7.35,15.1066070495,23.7676055612,13.348336778917,0.485676720385,70.5344029239,48.4305,113.4666,2017Q1
000858,五粮液,2016-12-31 00:00:00,1.787,1.771,15.01,13.3176371551,9.8510728006,12.401776204015,3.081365415451,70.1991760054,54.0086,38.5937,2016Q4
000858,五粮液,2016-09-30 00:00:00,1.344,,11.37,16.9733959097,10.8253577877,11.958352905855,2.782529740859,70.1283840084,0.3145,23.4623,2016Q3
000858,五粮液,2016-06-30 00:00:00,1.024,1.023,8.59,18.1912556934,17.870517469,11.638408045435,1.13574289439,70.0040608751,-49.8041,-66.1156,2016Q2
000858,五粮液,2016-03-31 00:00:00,0.765,,6.48,31.0318356023,31.9117048489,12.179264322454,0.200085248416,69.8417581461,35.1966,84.5473,2016Q1
000858,五粮液,2015-12-31 00:00:00,1.627,1.624,14.93,3.0830549198,5.847625217,11.414461917653,1.762678375057,69.1958319825,66.7024,20.4986,2015Q4
000858,五粮液,2015-09-30 00:00:00,1.213,,11.23,0.4182739979,-2.2150454601,11.000048526171,1.504167735485,69.2281193598,-12.5905,19.0351,2015Q3
000858,五粮液,2015-06-30 00:00:00,0.869,0.867,8.03,-3.8338052293,-17.5991551594,10.656132979883,0.821033148386,69.8957808446,-33.4864,-50.1668,2015Q2
000858,五粮液,2015-03-31 00:00:00,0.58,,5.31,0.2319017557,-15.9724494623,10.967213610637,0.509072662447,69.4774916335,13.3305,95.1709,2015Q1
000858,五粮液,2014-12-31 00:00:00,1.537,1.544,15.42,-14.99720368,-26.8148666286,10.387440473119,0.209318390795,72.5291781685,74.5026,59.8393,2014Q4
000858,五粮液,2014-09-30 00:00:00,1.24,,12.53,-21.3793045899,-33.7360672337,10.048231259151,-0.19860327771,74.8616835597,-31.0944,-48.9774,2014Q3
000858,五粮液,2014-06-30 00:00:00,1.054,1.052,10.51,-24.8542219158,-30.8964026587,9.86238262233,-0.481251428464,75.5006182804,-26.4466,-47.2089,2014Q2
000858,五粮液,2014-03-31 00:00:00,0.69,,7.0,-22.5448750943,-27.7850302536,10.198134766885,-0.580017065756,74.9696160864,21.0184,201.4082,2014Q1
000858,五粮液,2013-12-31 00:00:00,2.1,2.153,23.71,-9.1263304278,-19.7491993371,9.508154952159,0.384331809126,73.2573289098,52.2988,-33.8087,2013Q4
000858,五粮液,2013-09-30 00:00:00,1.871,,21.08,-9.2810290709,-8.9468707442,9.279236191836,0.082713833092,72.1407894294,-46.7283,-39.3387,2013Q3
000858,五粮液,2013-06-30 00:00:00,1.526,1.564,17.01,3.124101596,14.7590517961,8.933392141834,0.394573291264,71.7994089642,-21.113,-40.3295,2013Q2
000858,五粮液,2013-03-31 00:00:00,0.955,,11.0,5.4084223056,18.9089287603,9.163269080926,0.299452540034,76.5662580969,42.8246,70.0357,2013Q1
000858,五粮液,2012-12-31 00:00:00,2.617,2.615,36.82,33.6621689021,61.3467964178,8.207816468886,2.304990462214,70.531558032,-0.0403,-22.5943,2012Q4
000858,五粮液,2012-09-30 00:00:00,2.055,,29.8,35.0048430687,61.9245742095,7.64,1.725,69.348501618,-10.8837,38.0476,2012Q3
000858,五粮液,2012-06-30 00:00:00,1.329,1.328,19.24,42.0476697097,50.0705535084,6.90920490721,1.03994710446,65.1004200329,-17.1504,-34.5556,2012Q2
